LAST SEEN   TYPE      REASON                  OBJECT                                                   MESSAGE
9h          Normal    Scheduled               pod/pulltest-pg                                          Successfully assigned fullstack-dev/pulltest-pg to crc
9h          Normal    Scheduled               pod/fullstack-postgresql-0                               Successfully assigned fullstack-dev/fullstack-postgresql-0 to crc
10h         Normal    Scheduled               pod/pulltest-pg                                          Successfully assigned fullstack-dev/pulltest-pg to crc
31m         Normal    Scheduled               pod/fullstack-postgresql-0                               Successfully assigned fullstack-dev/fullstack-postgresql-0 to crc
31m         Normal    Scheduled               pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Successfully assigned fullstack-dev/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv to crc
10h         Normal    Scheduled               pod/pulltest-pg                                          Successfully assigned fullstack-dev/pulltest-pg to crc
31m         Normal    Scheduled               pod/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k     Successfully assigned fullstack-dev/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k to crc
9h          Normal    Scheduled               pod/fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz    Successfully assigned fullstack-dev/fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz to crc
9h          Normal    Scheduled               pod/fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z     Successfully assigned fullstack-dev/fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z to crc
10h         Normal    AddedInterface          pod/pulltest-pg                                          Add eth0 [10.217.1.142/23] from ovn-kubernetes
10h         Normal    Pulling                 pod/pulltest-pg                                          Pulling image "docker.io/bitnami/postgresql:16.6.0"
10h         Warning   Failed                  pod/pulltest-pg                                          Failed to pull image "docker.io/bitnami/postgresql:16.6.0": initializing source docker://bitnami/postgresql:16.6.0: reading manifest 16.6.0 in docker.io/bitnami/postgresql: manifest unknown
10h         Warning   Failed                  pod/pulltest-pg                                          Error: ErrImagePull
10h         Warning   Failed                  pod/pulltest-pg                                          Error: ImagePullBackOff
10h         Normal    BackOff                 pod/pulltest-pg                                          Back-off pulling image "docker.io/bitnami/postgresql:16.6.0"
10h         Normal    AddedInterface          pod/pulltest-pg                                          Add eth0 [10.217.1.144/23] from ovn-kubernetes
9h          Normal    Pulling                 pod/pulltest-pg                                          Pulling image "docker.io/bitnami/postgresql:17.6.0-debian-12-r4"
9h          Warning   Failed                  pod/pulltest-pg                                          Error: ErrImagePull
9h          Warning   Failed                  pod/pulltest-pg                                          Failed to pull image "docker.io/bitnami/postgresql:17.6.0-debian-12-r4": initializing source docker://bitnami/postgresql:17.6.0-debian-12-r4: reading manifest 17.6.0-debian-12-r4 in docker.io/bitnami/postgresql: manifest unknown
9h          Warning   Failed                  pod/pulltest-pg                                          Error: ImagePullBackOff
9h          Normal    BackOff                 pod/pulltest-pg                                          Back-off pulling image "docker.io/bitnami/postgresql:17.6.0-debian-12-r4"
9h          Normal    Pulling                 pod/pulltest-pg                                          Pulling image "docker.io/bitnamilegacy/postgresql:16.1.0-debian-11-r25"
9h          Normal    AddedInterface          pod/pulltest-pg                                          Add eth0 [10.217.1.148/23] from ovn-kubernetes
9h          Normal    Started                 pod/pulltest-pg                                          Started container pulltest-pg
9h          Normal    Created                 pod/pulltest-pg                                          Created container: pulltest-pg
9h          Normal    Pulled                  pod/pulltest-pg                                          Successfully pulled image "docker.io/bitnamilegacy/postgresql:16.1.0-debian-11-r25" in 46.022s (46.022s including waiting). Image size: 281761860 bytes.
9h          Normal    Killing                 pod/pulltest-pg                                          Stopping container pulltest-pg
9h          Normal    ScalingReplicaSet       deployment/fullstack-fullstack-ocp-backend               Scaled up replica set fullstack-fullstack-ocp-backend-74f8b44c7d from 0 to 1
9h          Normal    ScalingReplicaSet       deployment/fullstack-fullstack-ocp-frontend              Scaled up replica set fullstack-fullstack-ocp-frontend-85bbc48744 from 0 to 1
9h          Normal    SuccessfulCreate        replicaset/fullstack-fullstack-ocp-backend-74f8b44c7d    Created pod: fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z
9h          Normal    ExternalProvisioning    persistentvolumeclaim/data-fullstack-postgresql-0        Waiting for a volume to be created either by the external provisioner 'kubevirt.io.hostpath-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
9h          Normal    SuccessfulCreate        statefulset/fullstack-postgresql                         create Claim data-fullstack-postgresql-0 Pod fullstack-postgresql-0 in StatefulSet fullstack-postgresql success
