LAST SEEN   TYPE      REASON    OBJECT                                                  MESSAGE
9h          Warning   BackOff   pod/fullstack-fullstack-ocp-frontend-85bbc48744-6lrd9   Back-off restarting failed container frontend in pod fullstack-fullstack-ocp-frontend-85bbc48744-6lrd9_fullstack-dev(9767fd5d-fabc-42d6-a2e5-dca6f297fa05)
9h          Warning   Failed    pod/fullstack-postgresql-0                              Error: ImagePullBackOff
9h          Warning   BackOff   pod/fullstack-fullstack-ocp-backend-74f8b44c7d-ncs4n    Back-off restarting failed container backend in pod fullstack-fullstack-ocp-backend-74f8b44c7d-ncs4n_fullstack-dev(a035d3d0-2013-4fdb-95cf-6dfd5097e3cd)
9h          Warning   Failed    pod/pulltest-pg                                         Failed to pull image "docker.io/bitnami/postgresql:16.6.0": initializing source docker://bitnami/postgresql:16.6.0: reading manifest 16.6.0 in docker.io/bitnami/postgresql: manifest unknown
9h          Warning   Failed    pod/pulltest-pg                                         Error: ErrImagePull
9h          Warning   Failed    pod/pulltest-pg                                         Error: ImagePullBackOff
9h          Warning   Failed    pod/pulltest-pg                                         Failed to pull image "docker.io/bitnami/postgresql:17.6.0-debian-12-r4": initializing source docker://bitnami/postgresql:17.6.0-debian-12-r4: reading manifest 17.6.0-debian-12-r4 in docker.io/bitnami/postgresql: manifest unknown
9h          Warning   Failed    pod/pulltest-pg                                         Error: ErrImagePull
9h          Warning   Failed    pod/pulltest-pg                                         Error: ImagePullBackOff
14m         Warning   BackOff   pod/fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z    Back-off restarting failed container backend in pod fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z_fullstack-dev(ef542456-1ef3-4c7a-8954-55dd5d86bc2b)
14m         Warning   BackOff   pod/fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz   Back-off restarting failed container frontend in pod fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz_fullstack-dev(6a449aa3-a39e-4762-bbe8-bf2386c325f6)
4m55s       Warning   BackOff   pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv    Back-off restarting failed container frontend in pod fullstack-fullstack-ocp-frontend-c4d894889-bgwrv_fullstack-dev(5e526c47-c406-498e-a81a-f4a2211e7e88)
