LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
15m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx to crc
16m         Normal    RequirementsUnknown   clusterserviceversion/openshift-gitops-operator.v1.18.1              requirements not yet checked
16m         Normal    RequirementsNotMet    clusterserviceversion/openshift-gitops-operator.v1.18.1              one or more requirements couldn't be found
15m         Normal    ScalingReplicaSet     deployment/openshift-gitops-operator-controller-manager              Scaled up replica set openshift-gitops-operator-controller-manager-8464d778d4 from 0 to 1
15m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-8464d778d4   Created pod: openshift-gitops-operator-controller-manager-8464d778d4-2rnnx
15m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Add eth0 [10.217.1.65/23] from ovn-kubernetes
15m         Normal    Pulling               pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Pulling image "registry.redhat.io/openshift-gitops-1/gitops-rhel8-operator@sha256:4de51d00e08118a95debafc752a7bbcc5fe0716802e38c705e2c9d801268a49d"
15m         Warning   AppliedWithWarnings   installplan/install-t9d64                                            2 warning(s) generated during installation of operator "openshift-gitops-operator.v1.18.1" (CustomResourceDefinition "argocds.argoproj.io"): ArgoCD v1alpha1 version is deprecated and will be converted to v1beta1 automatically. Moving forward, please use v1beta1 as the ArgoCD API version., ArgoCD v1alpha1 version is deprecated and will be converted to v1beta1 automatically. Moving forward, please use v1beta1 as the ArgoCD API version.
15m         Normal    InstallWaiting        clusterserviceversion/openshift-gitops-operator.v1.18.1              Webhook install failed: conversionWebhook not ready
13m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Successfully pulled image "registry.redhat.io/openshift-gitops-1/gitops-rhel8-operator@sha256:4de51d00e08118a95debafc752a7bbcc5fe0716802e38c705e2c9d801268a49d" in 2m19.156s (2m19.156s including waiting). Image size: 245638330 bytes.
13m         Normal    Created               pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Created container: manager
13m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-8464d778d4-2rnnx_658b55d8-c895-4940-a434-c5d073969675 became leader
13m         Normal    Started               pod/openshift-gitops-operator-controller-manager-8464d778d4-2rnnx    Started container manager
10m         Warning   InstallCheckFailed    clusterserviceversion/openshift-gitops-operator.v1.18.1              install timeout
10m         Normal    NeedsReinstall        clusterserviceversion/openshift-gitops-operator.v1.18.1              installing: waiting for deployment openshift-gitops-operator-controller-manager to become ready: deployment "openshift-gitops-operator-controller-manager" not available: Deployment does not have minimum availability.
10m         Normal    AllRequirementsMet    clusterserviceversion/openshift-gitops-operator.v1.18.1              all requirements found, attempting install
10m         Normal    InstallSucceeded      clusterserviceversion/openshift-gitops-operator.v1.18.1              waiting for install components to report healthy
10m         Normal    InstallWaiting        clusterserviceversion/openshift-gitops-operator.v1.18.1              installing: waiting for deployment openshift-gitops-operator-controller-manager to become ready: deployment "openshift-gitops-operator-controller-manager" not available: Deployment does not have minimum availability.
5m51s       Warning   InstallCheckFailed    clusterserviceversion/openshift-gitops-operator.v1.18.1              install failed: deployment openshift-gitops-operator-controller-manager not ready before timeout: deployment "openshift-gitops-operator-controller-manager" exceeded its progress deadline
